x [m];cm ac
0;-0.21276698
0.005282609;-0.21276698
0.010565217;-0.21276698
0.015847826;-0.21276698
0.021130435;-0.21276698
0.026413043;-0.21276698
0.031695652;-0.21276698
0.036978261;-0.21276698
0.04226087;-0.212759504
0.047543478;-0.212752028
0.052826087;-0.212744552
0.058108696;-0.212737076
0.063391304;-0.212729599
0.068673913;-0.212722123
0.073956522;-0.212714647
0.07923913;-0.212707171
0.084521739;-0.212699695
0.089804348;-0.212692219
0.095086957;-0.212684742
0.100369565;-0.212677266
0.105652174;-0.212668224
0.110934783;-0.212651812
0.116217391;-0.212635401
0.1215;-0.212618989
0.126782609;-0.212602577
0.132065217;-0.212586165
0.137347826;-0.212569753
0.142630435;-0.212553341
0.147913043;-0.212536929
0.153195652;-0.212520517
0.158478261;-0.212504105
0.16376087;-0.212487693
0.169043478;-0.212471281
0.174326087;-0.212448802
0.179608696;-0.212420293
0.184891304;-0.212391784
0.190173913;-0.212363275
0.195456522;-0.212334766
0.20073913;-0.212306257
0.206021739;-0.212277748
0.211304348;-0.212249239
0.216586957;-0.21222073
0.221869565;-0.212192221
0.227152174;-0.212163712
0.232434783;-0.212135203
0.237717391;-0.21209571
0.243;-0.212049712
0.248282609;-0.212003713
0.253565217;-0.211957715
0.258847826;-0.211911717
0.264130435;-0.211865719
0.269413043;-0.211819721
0.274695652;-0.211773723
0.279978261;-0.211727725
0.28526087;-0.211681727
0.290543478;-0.211635729
0.295826087;-0.211567859
0.301108696;-0.211496044
0.306391304;-0.211424229
0.311673913;-0.211352414
0.316956522;-0.211280599
0.32223913;-0.211208784
0.327521739;-0.211136969
0.332804348;-0.211065154
0.338086957;-0.210993339
0.343369565;-0.21090538
0.348652174;-0.210795521
0.353934783;-0.210685662
0.359217391;-0.210575803
0.3645;-0.210465944
0.369782609;-0.210356085
0.375065217;-0.210246226
0.380347826;-0.210136368
0.385630435;-0.209993616
0.390913043;-0.209828157
0.396195652;-0.209662698
0.401478261;-0.209497239
0.40676087;-0.20933178
0.412043478;-0.209166321
0.417326087;-0.208957769
0.422608696;-0.208712767
0.427891304;-0.208467765
0.433173913;-0.208222763
0.438456522;-0.207926677
0.44373913;-0.207561145
0.449021739;-0.207357087
0.454304348;-0.207467603
0.459586957;-0.207578118
0.464869565;-0.207688634
0.470152174;-0.20779915
0.475434783;-0.207895321
0.480717391;-0.207989368
0.486;-0.208083416
0.491282609;-0.208177463
0.496565217;-0.20827151
0.501847826;-0.208365557
0.507130435;-0.208459605
0.512413043;-0.208553652
0.517695652;-0.208591137
0.522978261;-0.208627676
0.52826087;-0.208664215
0.533543478;-0.208700753
0.538826087;-0.208737292
0.544108696;-0.208773831
0.549391304;-0.20881037
0.554673913;-0.208843822
0.559956522;-0.208848222
0.56523913;-0.208852621
0.570521739;-0.20885702
0.575804348;-0.20886142
0.581086957;-0.208865819
0.586369565;-0.208870219
0.591652174;-0.208874618
0.596934783;-0.2088747
0.602217391;-0.208858396
0.6075;-0.208842092
0.612782609;-0.208825788
0.618065217;-0.208809483
0.623347826;-0.208793179
0.628630435;-0.208776875
0.633913043;-0.208760571
0.639195652;-0.208739273
0.644478261;-0.208707413
0.64976087;-0.208675552
0.655043478;-0.208643692
0.660326087;-0.208611831
0.665608696;-0.208579971
0.670891304;-0.208548111
0.676173913;-0.20851625
0.681456522;-0.208477619
0.68673913;-0.208430139
0.692021739;-0.208382659
0.697304348;-0.208335179
0.702586957;-0.208287698
0.707869565;-0.208240218
0.713152174;-0.208192738
0.718434783;-0.208145258
0.723717391;-0.208086108
0.729;-0.208017252
0.734282609;-0.207948396
0.739565217;-0.207879541
0.744847826;-0.207810685
0.750130435;-0.20774183
0.755413043;-0.207672974
0.760695652;-0.207604119
0.765978261;-0.207512649
0.77126087;-0.207409448
0.776543478;-0.207306247
0.781826087;-0.207203046
0.787108696;-0.207099845
0.792391304;-0.206996644
0.797673913;-0.206893443
0.802956522;-0.206790242
0.80823913;-0.20664214
0.813521739;-0.206480695
0.818804348;-0.206319249
0.824086957;-0.206157804
0.829369565;-0.205996359
0.834652174;-0.205834914
0.839934783;-0.205673468
0.845217391;-0.205512023
0.8505;-0.205259152
0.855782609;-0.204994215
0.861065217;-0.204729277
0.866347826;-0.20446434
0.871630435;-0.204199402
0.876913043;-0.203934465
0.882195652;-0.203669528
0.887478261;-0.20340459
0.89276087;-0.202936259
0.898043478;-0.202467088
0.903326087;-0.201997917
0.908608696;-0.201528745
0.913891304;-0.201059574
0.919173913;-0.200590403
0.924456522;-0.200121231
0.92973913;-0.199663991
0.935021739;-0.199304925
0.940304348;-0.198945859
0.945586957;-0.198586793
0.950869565;-0.198227727
0.956152174;-0.19786866
0.961434783;-0.197509594
0.966717391;-0.197150528
0.972;-0.196791462
0.977282609;-0.196824812
0.982565217;-0.19686445
0.987847826;-0.196904087
0.993130435;-0.196943725
0.998413043;-0.196983362
1.003695652;-0.197023
1.008978261;-0.197062637
1.01426087;-0.197102275
1.019543478;-0.19699267
1.024826087;-0.196792929
1.030108696;-0.196593188
1.035391304;-0.196393447
1.040673913;-0.196193707
1.045956522;-0.195993966
1.05123913;-0.195794225
1.056521739;-0.195594484
1.061804348;-0.195297113
1.067086957;-0.194725626
1.072369565;-0.194154138
1.077652174;-0.193582651
1.082934783;-0.193011164
1.088217391;-0.192439677
1.0935;-0.19186819
1.098782609;-0.191296702
1.104065217;-0.190725215
1.109347826;-0.189437683
1.114630435;-0.188072341
1.119913043;-0.186706998
1.125195652;-0.185341655
1.130478261;-0.183976313
1.13576087;-0.18261097
1.141043478;-0.181245627
1.146326087;-0.179880284
1.151608696;-0.177263548
1.156891304;-0.173585744
1.162173913;-0.16990794
1.167456522;-0.166230135
1.17273913;-0.162552331
1.178021739;-0.158874527
1.183304348;-0.155196723
1.188586957;-0.151518919
1.193869565;-0.121215135
1.199152174;-0.090911351
1.204434783;-0.060607568
1.209717391;-0.030303784
1.215;0
